kampus;jarak_km;jenis_tinggal;tipe_tinggal_baku
UBL;5,296755213;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;7,203383432;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,654532615;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;24,021121050;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,235240115;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;6,300977797;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,094405170;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,282353404;Kos Sendiri;Kos/Asrama
UBL;24,021121050;Kos Sendiri;Kos/Asrama
UBL;0,421196876;Kos Sendiri;Kos/Asrama
UBL;0,421196876;Kos bersama-sama;Kos/Asrama
UBL;1,977390761;Kos Sendiri;Kos/Asrama
UBL;3,237072250;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,854269746;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,974907821;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,497992055;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,806230387;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,507898780;Kos bersama-sama;Kos/Asrama
UBL;4,214066217;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,201040238;Kos Sendiri;Kos/Asrama
UBL;1,352126611;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,427721659;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,441067808;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,311269222;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;1,311269222;Kos bersama-sama;Kos/Asrama
UBL;0,063516761;Kos Sendiri;Kos/Asrama
UBL;0,063516761;Rumah mengontrak bersama-sama;Rumah Keluarga/Pribadi
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;1,192204482;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;4,894188544;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,177691507;Kos Sendiri;Kos/Asrama
UBL;5,050923037;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;1,311269222;Kos bersama-sama;Kos/Asrama
UBL;1,311269222;Rumah mengontrak bersama-sama;Rumah Keluarga/Pribadi
UBL;1,311269222;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,063516761;Kos Sendiri;Kos/Asrama
UBL;13,656064120;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;13,656064120;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;4,774000085;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;0,421196876;Kos Sendiri;Kos/Asrama
UBL;3,735501627;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;0,124797619;Kos bersama-sama;Kos/Asrama
UBL;5,413658404;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;0,201040238;Kos Sendiri;Kos/Asrama
UBL;0,201040238;Kos Sendiri;Kos/Asrama
UBL;1,311269222;Kos bersama-sama;Kos/Asrama
UBL;1,311269222;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,177691507;Rumah mengontrak bersama-sama;Rumah Keluarga/Pribadi
UBL;1,977390761;Kos Sendiri;Kos/Asrama
UBL;5,442073889;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,311269222;Kos bersama-sama;Kos/Asrama
UBL;0,063516761;Kos Sendiri;Kos/Asrama
UBL;1,311269222;Kos bersama-sama;Kos/Asrama
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;0,124797619;Kos Sendiri;Kos/Asrama
UBL;4,774000085;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;1,311269222;Rumah mengontrak bersama-sama;Rumah Keluarga/Pribadi
UBL;1,311269222;Rumah mengontrak bersama-sama;Rumah Keluarga/Pribadi
UBL;1,311269222;Kos bersama-sama;Kos/Asrama
UBL;4,774000085;Kos bersama-sama;Kos/Asrama
UBL;0,201040238;Kos Sendiri;Kos/Asrama
UBL;1,119503077;Kos Sendiri;Kos/Asrama
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;1,311269222;Rumah mengontrak bersama-sama;Rumah Keluarga/Pribadi
UBL;0,201040238;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,146537741;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,446244425;Rumah mengontrak bersama-sama;Rumah Keluarga/Pribadi
UBL;3,491807940;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,192204482;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,774000085;Kos Sendiri;Kos/Asrama
UBL;0,255963698;Kos Sendiri;Kos/Asrama
UBL;1,326497120;Kos Sendiri;Kos/Asrama
UBL;2,305694563;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,774000085;Kos Sendiri;Kos/Asrama
UBL;3,245569841;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;4,146537741;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;13,656064120;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;5,446244425;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;1,326497120;Kos bersama-sama;Kos/Asrama
UBL;1,326497120;Kos Sendiri;Kos/Asrama
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;0,063516761;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,311269222;Kos bersama-sama;Kos/Asrama
UBL;1,311269222;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;0,201040238;Kos Sendiri;Kos/Asrama
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;0,177691507;Kos Sendiri;Kos/Asrama
UBL;1,403512480;Rumah mengontrak bersama-sama;Rumah Keluarga/Pribadi
UBL;1,403512480;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;2,660432820;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,311269222;Kos Sendiri;Kos/Asrama
UBL;0,063516761;Kos Sendiri;Kos/Asrama
UBL;0,421196876;Kos Sendiri;Kos/Asrama
UBL;0,421196876;Kos Sendiri;Kos/Asrama
UBL;3,113390082;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,538388106;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,901827760;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,685624060;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,421196876;Kos Sendiri;Kos/Asrama
UBL;0,421196876;Kos Sendiri;Kos/Asrama
UBL;4,600882039;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,805578310;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,830706844;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,869401204;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;2,778233290;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,287495261;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,010516877;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,691310386;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,694593328;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,343635470;Rumah mengontrak pribadi;Rumah Keluarga/Pribadi
UBL;3,713260276;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,104897060;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,419349128;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,036051991;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;4,621219680;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,315212938;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,167968934;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,096248512;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,020414980;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,354913126;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,222855553;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,421196876;Kos Sendiri;Kos/Asrama
UBL;4,518402700;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,548537218;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,290278301;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,364386957;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,690369606;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,520245882;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,902969287;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,530244341;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,237315918;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,190541521;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,315786471;Rumah mengontrak pribadi;Rumah Keluarga/Pribadi
UBL;6,030575868;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,798747757;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,253280565;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;7,342939583;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;6,216652949;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,641342744;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,261991623;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,907689166;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,933432681;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;0,869150688;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;7,493916174;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,733135599;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,239116806;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,068500832;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,629455679;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,810488731;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,734324376;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,340177987;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,012286149;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,277631679;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,592361664;Kos Sendiri;Kos/Asrama
UBL;0,991739715;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,448098185;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,958160665;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,499521627;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,287605438;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,629455679;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,572893042;Kos bersama-sama;Kos/Asrama
UBL;5,824231663;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,230078489;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,212380528;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,221481311;Kos bersama-sama;Kos/Asrama
UBL;7,938788294;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;7,938788294;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,440728081;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,751459595;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,839764074;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,521868899;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,787724346;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,081306557;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,569418265;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,219981332;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;8,680099096;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,986168756;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;8,521836716;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,829793712;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,974810796;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,986168756;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,957642327;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,802100264;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,241010676;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,421196876;Kos Sendiri;Kos/Asrama
UBL;1,364458401;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,878808568;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,069331704;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;7,154815043;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,385755452;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,926858932;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,098495784;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,206793313;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;6,219275642;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,656918556;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;2,112847110;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,892853672;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,656918556;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;0,976674195;Kos Sendiri;Kos/Asrama
UBL;4,505262959;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,356831470;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,505262959;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,839389157;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,356831470;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,539924059;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,656238914;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,501244848;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,775256135;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,122152673;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,045679685;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;1,354286190;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,061345130;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,234770674;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,354286190;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;4,363461675;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,249929315;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,171617387;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,498009214;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,183931381;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,183931381;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,263774832;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,179398143;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,439056074;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,448930352;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,362427134;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;3,308584865;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;1,993916898;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,690773079;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,364386957;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,208207301;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,131168906;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,119256979;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,842410414;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,725114168;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,244403707;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;7,552938460;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,725114168;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,421196876;Kos Sendiri;Kos/Asrama
UBL;3,116770684;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,842587266;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,756796208;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,421196876;Kos Sendiri;Kos/Asrama
UBL;2,131168906;Rumah bersama saudara;Rumah Keluarga/Pribadi
UBL;4,801997026;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,196980850;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,482121402;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,684394322;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,654532615;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,713970664;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,025538433;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,977390761;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,766060188;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,108913865;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,636160181;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;1,636160181;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;6,168818338;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;2,337762627;Kos Sendiri;Kos/Asrama
UBL;1,078228666;Kos Sendiri;Kos/Asrama
UBL;2,713473952;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,583639071;Kos Sendiri;Kos/Asrama
UBL;1,095409914;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,301213799;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,418273673;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;4,931691228;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;6,113873406;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;0,997812015;Kos Sendiri;Kos/Asrama
UBL;3,825166186;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;3,520117444;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
UBL;5,603129786;Rumah pribadi/rumah keluarga;Rumah Keluarga/Pribadi
